productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extEnergyCost,extPowerCost,extMight,extCardType,extTag,extDomain,extFlavorText
635460,Origins - Proving Grounds Box Set,Origins Proving Grounds Box Set,https://tcgplayer-cdn.tcgplayer.com/product/635460_200w.jpg,89,24439,https://cpt.tcgcsv.com/dc67,2025-11-14T16:39:52.227,1,210.0,229.0,499.95,209.1,,Normal,,,,,,,,,
653136,Annie - Fiery,Annie Fiery,https://tcgplayer-cdn.tcgplayer.com/product/653136_200w.jpg,89,24439,https://cpt.tcgcsv.com/Lgf7,2025-10-31T19:12:48.53,1,1.01,2.16,29.99,1.54,,Normal,Epic,001/024,5,1,4,Champion Unit,Annie,Fury,"<em>""I never play with matches.""</em>"
653137,Firestorm,Firestorm,https://tcgplayer-cdn.tcgplayer.com/product/653137_200w.jpg,89,24439,https://cpt.tcgcsv.com/Mgf7,2025-10-31T18:48:20.573,1,0.34,0.58,5.73,0.53,,Normal,Uncommon,002/024,6,1,0,Spell,,Fury,"<em>""Eeny, meeny, miny, burn!"" -Annie</em>"
653138,Incinerate,Incinerate,https://tcgplayer-cdn.tcgplayer.com/product/653138_200w.jpg,89,24439,https://cpt.tcgcsv.com/Ngf7,2025-10-31T18:49:51.507,1,0.7,1.0,5.73,1.02,,Normal,Common,003/024,2,0,0,Spell,,Fury,"<em>""You smell like burning!"" -Annie</em>"
653139,Master Yi - Meditative,Master Yi Meditative,https://tcgplayer-cdn.tcgplayer.com/product/653139_200w.jpg,89,24439,https://cpt.tcgcsv.com/Pgf7,2025-10-31T19:12:56.403,1,1.7,2.74,8.99,2.19,,Normal,Rare,004/024,5,1,4,Champion Unit,Master Yi;Ionia,Calm,"<em>""Anger gives motivation without purpose.""</em>"
653140,Zephyr Sage,Zephyr Sage,https://tcgplayer-cdn.tcgplayer.com/product/653140_200w.jpg,89,24439,https://cpt.tcgcsv.com/Qgf7,2025-10-31T18:51:10.147,1,0.1,0.42,4.72,0.31,,Normal,Uncommon,005/024,6,1,6,Unit,Ionia;Bird,Calm,"<em>""A true master is an eternal student."" -Master Yi</em>"
653141,Lux - Illuminated,Lux Illuminated,https://tcgplayer-cdn.tcgplayer.com/product/653141_200w.jpg,89,24439,https://cpt.tcgcsv.com/Rgf7,2025-10-31T19:13:03.4,1,1.5,2.0,8.49,1.82,,Normal,Rare,006/024,6,1,5,Champion Unit,Lux;Demacia,Mind,"<em>""No more holding back!""</em>"
653142,Garen - Rugged,Garen Rugged,https://tcgplayer-cdn.tcgplayer.com/product/653142_200w.jpg,89,24439,https://cpt.tcgcsv.com/Sgf7,2025-10-31T19:13:10.55,1,1.0,1.95,5.24,1.58,,Normal,Rare,007/024,6,1,5,Champion Unit,Garen;Demacia;Elite,Body,"<em>""Fear is the first of many foes.""</em>"
653143,Gentlemen's Duel,Gentlemens Duel,https://tcgplayer-cdn.tcgplayer.com/product/653143_200w.jpg,89,24439,https://cpt.tcgcsv.com/Tgf7,2025-10-31T18:52:47.877,1,0.25,0.6,5.73,0.47,,Normal,Common,008/024,6,1,0,Spell,,Body,<em>A proper and formal way to kill your enemies.</em>
653144,Master Yi - Honed,Master Yi Honed,https://tcgplayer-cdn.tcgplayer.com/product/653144_200w.jpg,89,24439,https://cpt.tcgcsv.com/Vgf7,2025-10-31T19:13:19.287,1,4.0,5.61,19.0,4.87,,Normal,Epic,009/024,7,1,6,Champion Unit,Master Yi;Ionia,Body,"<em>""The focused mind can pierce through stone.""</em>"
653145,Annie - Stubborn,Annie Stubborn,https://tcgplayer-cdn.tcgplayer.com/product/653145_200w.jpg,89,24439,https://cpt.tcgcsv.com/Wgf7,2025-10-31T19:13:45.473,1,5.5,7.97,29.99,5.58,,Normal,Rare,010/024,4,1,3,Champion Unit,Annie;Noxus,Chaos,"<em>""I want a turn!""</em>"
653146,Flash,Flash,https://tcgplayer-cdn.tcgplayer.com/product/653146_200w.jpg,89,24439,https://cpt.tcgcsv.com/Xgf7,2025-10-31T18:54:31.88,1,59.99,74.99,100.0,62.59,,Normal,Common,011/024,2,0,0,Spell,,Chaos,<em>It's not running away. It's strategic positioning.</em>
653147,Blast of Power,Blast of Power,https://tcgplayer-cdn.tcgplayer.com/product/653147_200w.jpg,89,24439,https://cpt.tcgcsv.com/Zgf7,2025-10-31T18:56:39.76,1,7.31,26.99,33.99,6.13,,Normal,Common,012/024,6,1,0,Spell,,Order,"<em>""Illuminate the enemy!"" -Lux</em>"
653148,Garen - Commander,Garen Commander,https://tcgplayer-cdn.tcgplayer.com/product/653148_200w.jpg,89,24439,https://cpt.tcgcsv.com/-gf7,2025-10-31T19:13:47.58,1,2.2,2.87,5.85,2.48,,Normal,Epic,013/024,6,1,5,Champion Unit,Garen;Demacia;Elite,Order,"<em>""For Demacia!""</em>"
653149,Lux - Crownguard,Lux Crownguard,https://tcgplayer-cdn.tcgplayer.com/product/653149_200w.jpg,89,24439,https://cpt.tcgcsv.com/_gf7,2025-10-31T19:14:04.823,1,6.27,7.31,12.23,6.27,,Normal,Epic,014/024,4,0,2,Champion Unit,Lux;Demacia,Order,"<em>""I've been hiding my light long enough.""</em>"
653150,Recruit the Vanguard,Recruit the Vanguard,https://tcgplayer-cdn.tcgplayer.com/product/653150_200w.jpg,89,24439,https://cpt.tcgcsv.com/0hf7,2025-10-31T18:57:54.693,1,5.84,14.99,40.0,5.02,,Normal,Uncommon,015/024,6,0,0,Spell,,Order,"<em>""My heart and sword always for Demacia."" -Garen</em>"
653151,Vanguard Attendant,Vanguard Attendant,https://tcgplayer-cdn.tcgplayer.com/product/653151_200w.jpg,89,24439,https://cpt.tcgcsv.com/2hf7,2025-10-31T18:59:00.313,1,0.09,0.35,2.24,0.28,,Normal,Common,016/024,6,1,5,Unit,Demacia;Elite,Order,<em>Even the Vanguard needs a first line of defense.</em>
